order_id,customer_id,order_status,order_purchase_timestamp,order_delivered_timestamp,order_estimated_delivery_date
ord_00186,cust_0311,shipped,2024-10-12,2024-11-08,2024-11-01
ord_00187,cust_0466,processing,2024-09-24,2024-10-09,2024-10-15
ord_00188,cust_0220,canceled,2024-06-01,2024-07-01,2024-06-26
ord_00189,cust_0313,delivered,2024-10-18,2024-11-09,2024-10-26
ord_00190,cust_0136,delivered,2024-04-16,2024-05-09,2024-04-29
ord_00191,cust_0283,delivered,2024-03-21,2024-03-31,2024-04-02
ord_00192,cust_0231,processing,2024-03-21,2024-03-24,2024-04-10
ord_00193,cust_0148,canceled,2024-05-29,2024-06-02,2024-06-12
ord_00194,cust_0037,shipped,2024-12-25,2025-01-24,2025-01-15
ord_00195,cust_0339,shipped,2024-05-15,2024-06-12,2024-06-09
ord_00196,cust_0116,shipped,2024-08-05,2024-08-11,2024-08-29
ord_00197,cust_0037,delivered,2024-05-16,2024-06-14,2024-05-27
ord_00198,cust_0305,canceled,2024-03-25,2024-04-22,2024-04-10
ord_00199,cust_0353,canceled,2024-08-12,2024-08-18,2024-09-02
ord_00200,cust_0257,processing,2024-12-24,2025-01-08,2025-01-08
ord_00201,cust_0456,processing,2024-08-12,2024-08-17,2024-08-20
ord_00202,cust_0014,delivered,2024-06-14,2024-07-06,2024-06-29
ord_00203,cust_0301,delivered,2024-04-27,2024-05-21,2024-05-22
ord_00204,cust_0296,delivered,2024-12-10,2025-01-08,2024-12-25
ord_00205,cust_0334,processing,2024-03-30,2024-04-17,2024-04-22
ord_00206,cust_0224,processing,2024-05-22,2024-05-30,2024-06-16
ord_00207,cust_0210,canceled,2024-02-16,2024-03-05,2024-03-05
ord_00208,cust_0440,shipped,2024-06-13,2024-07-07,2024-06-23
ord_00209,cust_0148,processing,2024-06-17,2024-07-03,2024-07-09
ord_00210,cust_0046,canceled,2024-10-08,2024-10-12,2024-10-29
ord_00211,cust_0497,processing,2024-05-09,2024-05-22,2024-05-19
ord_00212,cust_0337,processing,2024-09-20,2024-10-19,2024-09-27
ord_00213,cust_0266,canceled,2024-07-30,2024-08-03,2024-08-12
ord_00214,cust_0321,processing,2024-11-14,2024-12-11,2024-12-06
ord_00215,cust_0282,shipped,2024-01-27,2024-02-05,2024-02-11
ord_00216,cust_0063,delivered,2024-05-27,2024-06-13,2024-06-18
ord_00217,cust_0364,shipped,2024-11-18,2024-12-10,2024-12-02
ord_00218,cust_0283,processing,2024-06-08,2024-06-28,2024-06-15
ord_00219,cust_0237,delivered,2024-02-17,2024-02-27,2024-02-27
ord_00220,cust_0256,canceled,2024-11-27,2024-12-26,2024-12-08
ord_00221,cust_0213,processing,2024-09-17,2024-10-12,2024-10-02
ord_00222,cust_0283,shipped,2024-08-29,2024-09-08,2024-09-19
ord_00223,cust_0383,shipped,2024-07-15,2024-07-24,2024-08-07
ord_00224,cust_0175,canceled,2024-02-05,2024-02-16,2024-02-25
ord_00225,cust_0429,processing,2024-01-02,2024-01-14,2024-01-18
ord_00226,cust_0248,canceled,2024-03-17,2024-04-03,2024-04-10
ord_00227,cust_0194,processing,2024-06-19,2024-07-09,2024-07-13
ord_00228,cust_0358,shipped,2024-06-13,2024-07-13,2024-06-26
ord_00229,cust_0439,processing,2024-10-19,2024-11-03,2024-11-02
ord_00230,cust_0362,processing,2024-01-23,2024-02-05,2024-02-14
ord_00231,cust_0254,delivered,2024-07-16,2024-08-09,2024-07-27
ord_00232,cust_0170,delivered,2024-03-05,2024-03-24,2024-03-30
ord_00233,cust_0467,processing,2024-08-13,2024-08-19,2024-09-05
ord_00234,cust_0210,shipped,2024-01-08,2024-02-03,2024-01-19
ord_00235,cust_0174,processing,2024-02-08,2024-02-26,2024-02-23
ord_00236,cust_0437,processing,2024-11-28,2024-12-03,2024-12-15
ord_00237,cust_0447,delivered,2024-06-11,2024-07-04,2024-07-03
ord_00238,cust_0324,canceled,2024-11-12,2024-11-17,2024-11-26
ord_00239,cust_0223,delivered,2024-04-26,2024-05-22,2024-05-05
ord_00240,cust_0228,shipped,2024-11-20,2024-12-15,2024-11-30
ord_00241,cust_0024,canceled,2024-12-21,2025-01-02,2024-12-28
ord_00242,cust_0192,processing,2024-01-29,2024-02-10,2024-02-16
ord_00243,cust_0211,shipped,2024-03-15,2024-03-25,2024-04-07
ord_00244,cust_0313,processing,2024-03-28,2024-04-05,2024-04-06
ord_00245,cust_0255,shipped,2024-11-13,2024-12-07,2024-11-27
ord_00246,cust_0236,canceled,2024-04-28,2024-05-15,2024-05-13
ord_00247,cust_0462,canceled,2024-12-07,2024-12-10,2024-12-28
ord_00248,cust_0038,processing,2024-12-12,2025-01-01,2024-12-24
ord_00249,cust_0328,processing,2024-06-25,2024-07-16,2024-07-11
ord_00250,cust_0433,canceled,2024-12-19,2024-12-30,2025-01-09
ord_00251,cust_0055,shipped,2024-04-11,2024-04-26,2024-05-03
ord_00252,cust_0295,canceled,2024-07-14,2024-08-04,2024-08-01
ord_00253,cust_0425,processing,2024-12-24,2025-01-05,2024-12-31
ord_00254,cust_0443,delivered,2024-05-20,2024-05-23,2024-06-14
ord_00255,cust_0427,canceled,2024-11-06,2024-12-02,2024-11-28
ord_00256,cust_0113,shipped,2024-04-27,2024-05-19,2024-05-15
ord_00257,cust_0322,delivered,2024-11-13,2024-11-24,2024-11-24
ord_00258,cust_0159,processing,2024-11-17,2024-12-10,2024-11-25
ord_00259,cust_0375,shipped,2024-01-18,2024-02-08,2024-02-05
ord_00260,cust_0383,processing,2024-02-16,2024-02-28,2024-03-04
ord_00261,cust_0403,canceled,2024-03-30,2024-04-08,2024-04-10
ord_00262,cust_0426,shipped,2024-09-28,2024-10-17,2024-10-13
ord_00263,cust_0496,canceled,2024-05-11,2024-06-09,2024-06-02
ord_00264,cust_0240,delivered,2024-06-22,2024-07-20,2024-07-02
ord_00265,cust_0441,processing,2024-03-13,2024-04-09,2024-03-27
ord_00266,cust_0405,processing,2024-10-12,2024-10-26,2024-10-21
ord_00267,cust_0064,processing,2024-01-08,2024-01-19,2024-02-01
ord_00268,cust_0300,processing,2024-07-07,2024-07-31,2024-07-22
ord_00269,cust_0346,shipped,2024-11-22,2024-12-06,2024-12-02
ord_00270,cust_0168,shipped,2024-08-29,2024-09-01,2024-09-22
ord_00271,cust_0466,canceled,2024-11-27,2024-12-02,2024-12-18
ord_00272,cust_0072,delivered,2024-11-28,2024-12-14,2024-12-08
ord_00273,cust_0060,delivered,2024-01-20,2024-02-01,2024-02-11
ord_00274,cust_0199,processing,2024-04-30,2024-05-20,2024-05-11
ord_00275,cust_0215,shipped,2024-07-08,2024-08-01,2024-08-01
ord_00276,cust_0427,processing,2024-07-31,2024-08-23,2024-08-10
ord_00277,cust_0017,canceled,2024-11-11,2024-11-27,2024-11-26
ord_00278,cust_0487,shipped,2024-04-21,2024-05-08,2024-05-12
ord_00279,cust_0279,canceled,2024-07-04,2024-07-10,2024-07-22
ord_00280,cust_0098,delivered,2024-02-01,2024-02-16,2024-02-16
ord_00281,cust_0329,delivered,2024-08-20,2024-08-25,2024-09-02
ord_00282,cust_0125,shipped,2024-01-26,2024-02-23,2024-02-12
ord_00283,cust_0425,shipped,2024-10-16,2024-10-25,2024-10-25
ord_00284,cust_0169,shipped,2024-10-27,2024-11-05,2024-11-10
ord_00285,cust_0440,shipped,2024-11-01,2024-11-04,2024-11-16
ord_00286,cust_0409,shipped,2024-03-07,2024-03-27,2024-03-22
ord_00287,cust_0068,delivered,2024-02-26,2024-03-21,2024-03-04
ord_00288,cust_0302,canceled,2024-07-02,2024-07-30,2024-07-16
ord_00289,cust_0027,shipped,2024-01-09,2024-01-17,2024-01-24
ord_00290,cust_0382,delivered,2024-08-03,2024-08-22,2024-08-13
ord_00291,cust_0263,delivered,2024-08-31,2024-09-17,2024-09-18
ord_00292,cust_0485,delivered,2024-08-19,2024-09-07,2024-09-02
ord_00293,cust_0235,delivered,2024-12-03,2024-12-22,2024-12-19
ord_00294,cust_0219,delivered,2024-02-01,2024-02-19,2024-02-20
ord_00295,cust_0038,delivered,2024-09-08,2024-10-03,2024-09-29
ord_00296,cust_0034,shipped,2024-06-13,2024-07-05,2024-06-24
ord_00297,cust_0281,canceled,2024-05-20,2024-06-11,2024-06-14
ord_00298,cust_0151,processing,2024-07-14,2024-08-05,2024-08-06
ord_00299,cust_0051,delivered,2024-09-15,2024-10-07,2024-10-05
ord_00300,cust_0370,shipped,2024-12-01,2024-12-24,2024-12-25
ord_00301,cust_0212,canceled,2024-08-08,2024-08-25,2024-08-22
ord_00302,cust_0374,delivered,2024-08-20,2024-09-04,2024-09-09
ord_00303,cust_0341,canceled,2024-06-09,2024-06-25,2024-06-26
ord_00304,cust_0035,delivered,2024-07-10,2024-07-17,2024-08-01
ord_00305,cust_0050,canceled,2024-02-13,2024-02-18,2024-03-04
ord_00306,cust_0301,canceled,2024-03-07,2024-03-27,2024-03-15
ord_00307,cust_0182,processing,2024-12-09,2024-12-15,2024-12-29
ord_00308,cust_0181,delivered,2024-01-27,2024-02-08,2024-02-12
ord_00309,cust_0080,processing,2024-10-22,2024-11-10,2024-11-04
ord_00310,cust_0180,canceled,2024-04-24,2024-05-24,2024-05-04
ord_00311,cust_0294,shipped,2024-02-28,2024-03-26,2024-03-14
ord_00312,cust_0499,delivered,2024-08-07,2024-09-06,2024-08-31
ord_00313,cust_0015,shipped,2024-11-07,2024-12-01,2024-11-22
ord_00314,cust_0472,canceled,2024-05-19,2024-06-13,2024-06-04
ord_00315,cust_0446,shipped,2024-06-28,2024-07-01,2024-07-10
ord_00316,cust_0036,shipped,2024-10-16,2024-11-09,2024-11-04
ord_00317,cust_0383,shipped,2024-11-20,2024-11-23,2024-11-29
ord_00318,cust_0175,shipped,2024-07-11,2024-07-27,2024-08-01
ord_00319,cust_0398,delivered,2024-07-08,2024-07-20,2024-07-25
ord_00320,cust_0387,delivered,2024-01-27,2024-02-03,2024-02-08
ord_00321,cust_0227,processing,2024-12-11,2024-12-16,2024-12-26
ord_00322,cust_0213,canceled,2024-09-05,2024-09-27,2024-09-26
ord_00323,cust_0059,canceled,2024-04-20,2024-05-17,2024-05-13
ord_00324,cust_0348,processing,2024-08-08,2024-08-14,2024-08-24
ord_00325,cust_0024,shipped,2024-09-26,2024-10-20,2024-10-12
ord_00326,cust_0004,shipped,2024-07-21,2024-08-12,2024-07-29
ord_00327,cust_0392,canceled,2024-06-03,2024-06-12,2024-06-14
ord_00328,cust_0004,processing,2024-05-28,2024-06-10,2024-06-07
ord_00329,cust_0195,shipped,2024-08-08,2024-08-16,2024-08-19
ord_00330,cust_0037,processing,2024-09-13,2024-10-03,2024-10-01
ord_00331,cust_0236,delivered,2024-01-22,2024-02-07,2024-01-29
ord_00332,cust_0294,processing,2024-06-09,2024-06-30,2024-06-29
ord_00333,cust_0149,delivered,2024-12-29,2025-01-21,2025-01-18
ord_00334,cust_0088,processing,2024-07-26,2024-07-29,2024-08-12
ord_00335,cust_0224,delivered,2024-12-19,2025-01-02,2024-12-28
ord_00336,cust_0206,delivered,2024-05-04,2024-05-20,2024-05-29
ord_00337,cust_0382,canceled,2024-07-21,2024-08-20,2024-08-06
ord_00338,cust_0040,delivered,2024-04-23,2024-05-06,2024-05-05
ord_00339,cust_0464,canceled,2024-09-28,2024-10-17,2024-10-11
ord_00340,cust_0121,delivered,2024-06-28,2024-07-24,2024-07-09
ord_00341,cust_0089,shipped,2024-03-15,2024-03-26,2024-03-28
ord_00342,cust_0488,processing,2024-12-01,2024-12-06,2024-12-13
ord_00343,cust_0390,processing,2024-08-25,2024-09-21,2024-09-19
ord_00344,cust_0443,canceled,2024-12-14,2025-01-04,2024-12-31
ord_00345,cust_0241,processing,2024-03-18,2024-04-04,2024-03-27
ord_00346,cust_0303,delivered,2024-11-19,2024-12-01,2024-12-04
ord_00347,cust_0159,processing,2024-06-29,2024-07-18,2024-07-08
ord_00348,cust_0189,canceled,2024-08-19,2024-08-23,2024-08-27
ord_00349,cust_0315,processing,2024-02-09,2024-03-03,2024-02-18
ord_00350,cust_0489,delivered,2024-08-24,2024-09-14,2024-09-17
ord_00351,cust_0334,shipped,2024-08-18,2024-09-15,2024-09-12
ord_00352,cust_0257,shipped,2024-06-13,2024-07-05,2024-07-05
ord_00353,cust_0416,canceled,2024-02-01,2024-02-18,2024-02-11
ord_00354,cust_0021,shipped,2024-02-13,2024-03-03,2024-02-25
ord_00355,cust_0269,shipped,2024-12-28,2025-01-14,2025-01-18
ord_00356,cust_0199,processing,2024-07-05,2024-07-19,2024-07-21
ord_00357,cust_0405,canceled,2024-06-22,2024-07-16,2024-06-30
ord_00358,cust_0286,processing,2024-02-03,2024-02-16,2024-02-13
ord_00359,cust_0171,delivered,2024-05-25,2024-06-05,2024-06-05
ord_00360,cust_0470,canceled,2024-10-25,2024-11-18,2024-11-05
ord_00361,cust_0067,delivered,2024-06-07,2024-06-30,2024-06-26
ord_00362,cust_0330,canceled,2024-06-07,2024-06-27,2024-06-26
ord_00363,cust_0048,processing,2024-03-06,2024-03-30,2024-03-29
ord_00364,cust_0186,canceled,2024-09-17,2024-10-01,2024-09-24
ord_00365,cust_0486,processing,2024-04-02,2024-04-11,2024-04-19
ord_00366,cust_0080,delivered,2024-04-08,2024-04-18,2024-04-19
ord_00367,cust_0260,delivered,2024-05-31,2024-06-30,2024-06-10
ord_00368,cust_0306,processing,2024-12-04,2024-12-17,2024-12-15
ord_00369,cust_0426,shipped,2024-03-19,2024-03-27,2024-03-31
ord_00370,cust_0187,shipped,2024-08-12,2024-08-16,2024-09-01
ord_00371,cust_0386,processing,2024-08-15,2024-09-06,2024-08-31
ord_00372,cust_0159,processing,2024-04-29,2024-05-19,2024-05-13
ord_00373,cust_0226,processing,2024-04-09,2024-04-23,2024-05-04
ord_00374,cust_0258,processing,2024-05-24,2024-06-20,2024-06-12
ord_00375,cust_0411,shipped,2024-03-23,2024-04-21,2024-04-05
ord_00376,cust_0448,canceled,2024-05-08,2024-05-12,2024-05-30
ord_00377,cust_0436,delivered,2024-10-10,2024-10-16,2024-11-02
ord_00378,cust_0140,processing,2024-05-25,2024-05-30,2024-06-06
